#miRNA,paciente 137,paciente 139,paciente 140,paciente 190,paciente 252,paciente 407,paciente 411,paciente 422,paciente 142 RI,paciente 162,paciente 173,paciente 187,paciente 210,paciente 297,paciente 414,paciente 457,paciente 258,paciente 260
hsa-miR-186-5p56,9.926690364622539,9.244008144458101,9.68554893358513,11.734483165690445,9.039337033777219,11.779381259346001,9.457999289378886,9.195424250768856,9.64672181446631,11.99610917964544,9.783241565950595,11.666695551203889,9.292903183380913,9.568234203546506,8.814576935370892,12.709915167174488,11.927467493101235,14.441225342710027
hsa-miR-187-3p62,0.31581933402649426,1.331179808303492,0.5112271301933906,0.0,0.0,0.16477972546636083,0.13258791866733297,0.28701062447622655,0.32295515556738064,0.5712348133386613,0.0,0.31598661638004355,0.7459085387764137,0.0,0.0,0.0,0.0,0.0
hsa-miR-187-5p61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-188-3p13,0.31581933402649426,0.0,0.0,1.0864470442315177,0.0,1.1440131315224604,0.13258791866733297,0.0,0.0,0.766979685941747,1.037599650839686,0.5750463990158317,0.0,0.23925405596895064,0.0,0.0,0.0,0.0
hsa-miR-188-5p57,0.7942328997516335,0.28283517554869986,1.5428419045959592,2.7262909996780054,0.0,1.1440131315224604,0.36600069216696746,0.28701062447622655,1.4626970042671508,1.8870805428700574,2.8712238928287737,2.729409592351321,0.42063333262233404,0.927449692008738,0.0,3.4909429141972943,0.0,0.0
hsa-miR-18a-3p91,1.4399041834825679,1.450309597489458,2.206245255289991,1.6991112242485213,2.89599824581493,3.4491100070851948,2.4906738315618724,1.4064393714954386,0.8095548717606451,3.93583271795012,1.037599650839686,2.0646121245028355,1.2351511513652915,1.7419926017892005,2.3407318048276284,4.032485018547736,0.0,0.0
hsa-miR-18a-5p72,4.015474181208126,4.2128223778043115,5.173291907505156,6.705458182441652,2.0778562209655886,5.4459321754162735,4.924043667046813,3.6753482788792775,4.574768066701989,7.442917799062593,3.236106038777007,5.3544739522984175,3.3893493830414885,4.418405004499934,2.240862490927665,3.3165138481303305,3.148444980411608,0.0
hsa-miR-18b-3p51,0.0,0.0,0.0,0.0,0.0,0.4467693943323273,0.0,0.0,0.0,0.6724245395014814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18b-5p12,1.3035236619223274,1.8475962255377842,2.2712337738374417,2.1278026172557376,0.0,1.9649078952214556,1.9227664671831692,0.9110687262642632,1.4626970042671508,4.2983730090332255,1.037599650839686,1.7860220422669109,0.7459085387764137,1.8897588692018994,0.4209400286562411,1.1892635555913271,0.0,0.0
hsa-miR-1908-3p16,0.0,0.0,0.0,0.0,1.3845455735250263,0.0,0.0,0.0,0.32295515556738064,0.07584364767094302,1.037599650839686,0.31598661638004355,0.0,0.0,0.0,1.1892635555913271,0.0,0.0
hsa-miR-1908-5p81,0.31581933402649426,0.0,0.0,1.0864470442315177,0.0,0.7874069294095042,0.0,0.15063083186922394,0.0,1.198778648491431,0.0,0.0,0.0,0.0,0.4209400286562411,1.1892635555913271,4.064709274527432,3.8105805240053043
hsa-miR-1909-3p83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1909-5p82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190a-3p82,0.0,0.5192064456975141,0.5112271301933906,3.148044181038679,0.0,1.6120757030755608,0.2540096302106309,0.28701062447622655,0.0,2.240139136578501,0.0,2.2243306072816877,0.7459085387764137,0.4444172781120245,0.0,2.2753316982692264,3.148444980411608,0.0
hsa-miR-190a-5p58,7.222063796413649,6.9083427477403365,5.88900842594932,7.144026378437729,4.827069537665661,5.202201924385807,6.605178349461714,7.419999728522533,6.448012663957264,6.845487915675351,3.87642084170798,5.430164223300335,6.576608173233061,6.234912471704611,5.403729624536641,5.434694339450444,4.064709274527432,0.0
hsa-miR-190b-3p32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190b-5p29,3.8781591080269475,3.7146486576980395,3.7368859712090368,2.7262909996780054,1.3845455735250263,0.7874069294095042,3.3009692178052252,3.598785555790477,3.174484129430018,2.3511382842693416,2.056038276629507,1.8849844984133226,4.0506489294913015,2.5084126516875367,2.8947581072945594,2.6138739840933183,3.148444980411608,0.0
hsa-miR-191-3p18,0.5747668150485923,0.28283517554869986,0.0,0.0,2.0778562209655886,1.7219864719930678,0.2540096302106309,0.0,0.32295515556738064,1.2650809767103044,0.0,2.2243306072816877,0.0,0.6240040701051197,0.4209400286562411,4.587757155567809,3.148444980411608,6.047814980740851
hsa-miR-191-5p40,12.207605384270465,11.423786660780381,11.72013854520468,13.376070823607943,13.46647962180569,14.067200451731418,11.607403242342146,11.858255525299622,11.902783076932977,13.470113247478412,10.708102081656124,12.442360243100154,11.371342700351498,11.632870960177929,13.40793340629414,11.944696540649476,10.953819810829101,12.10938114825152
hsa-miR-1910-3p17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1910-5p84,0.0,0.0,0.0,0.0,2.5441616852662294,0.0,0.0,0.0,0.0,0.1478984852355835,0.0,0.0,0.0,0.0,0.0,1.1892635555913271,0.0,0.0
hsa-miR-1911-3p86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
