sample,paciente 137,paciente 139,paciente 140,paciente 190,paciente 252,paciente 407,paciente 411,paciente 422,paciente 142 ,paciente 162,paciente 173,paciente 187,paciente 210,paciente 258,paciente 260,paciente 297,paciente 414,paciente 457
hsa-miR-1225-3p73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-1225-5p72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1226-3p77,0,1,2,1,0,17,4,2,2,12,0,0,0,0,0,0,2,0
hsa-miR-1226-5p76,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
hsa-miR-1227-3p80,0,0,0,0,0,3,0,1,1,9,0,1,0,0,0,0,0,0
hsa-miR-1227-5p41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1228-3p83,7,5,1,2,1,6,3,1,6,11,0,2,1,0,0,5,2,6
hsa-miR-1228-5p82,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2
hsa-miR-1229-3p84,0,0,0,0,0,2,2,0,0,6,0,1,0,0,0,3,0,0
hsa-miR-1229-5p42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-122b-3p77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-122b-5p76,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-123186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1233-3p88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-1233-5p43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1234-3p89,0,2,0,2,0,3,0,1,0,7,1,1,1,0,0,0,0,0
hsa-miR-1236-3p91,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0
hsa-miR-1236-5p45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1237-3p92,0,0,0,0,1,3,0,0,0,2,0,0,1,0,0,0,0,1
hsa-miR-1237-5p46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1238-3p93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1238-5p47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-124-3p22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-124-5p91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-124394,3,2,1,1,0,4,4,2,1,1,0,2,1,0,0,0,0,0
hsa-miR-124496,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0
hsa-miR-1245a97,5,4,5,1,0,3,11,9,6,16,2,4,6,0,0,7,6,1
hsa-miR-1245b-3p51,0,1,0,0,0,3,3,1,2,4,1,4,0,0,0,1,0,0
hsa-miR-1245b-5p50,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-124698,7,4,5,2,1,3,1,2,7,11,1,3,2,4,0,9,1,0
hsa-miR-1247-3p21,17,7,14,5,6,15,29,16,14,14,16,36,16,34,5,25,12,30
hsa-miR-1247-5p99,18,7,11,3,20,209,34,15,20,121,1,9,13,0,1,23,11,17
hsa-miR-124800,18,2,3,4,1,12,4,0,8,43,1,4,0,0,0,16,4,3
hsa-miR-1249-3p01,7,5,5,4,1,46,8,2,5,74,0,5,2,2,0,6,7,16
hsa-miR-1249-5p29,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0
hsa-miR-1250-3p40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1250-5p02,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
hsa-miR-1251-3p41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1251-5p03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1252-3p44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1252-5p44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-125304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1255a06,0,1,2,0,0,3,5,0,0,10,0,1,0,0,0,0,0,0
hsa-miR-1255b-2-3p25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1255b-5p45,1,1,1,0,0,11,6,7,1,64,0,4,0,0,0,3,1,0
hsa-miR-125607,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
hsa-miR-125708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-125809,3,0,4,0,1,2,2,3,4,2,0,1,2,0,0,0,2,0
hsa-miR-125a-3p02,14,18,16,3,5,56,21,9,12,48,0,10,14,1,0,15,9,6
hsa-miR-125a-5p43,4411,3400,2290,1387,2191,54177,5864,5455,2841,46699,136,2097,1509,21,21,4358,3714,3824
hsa-miR-125b-1-3p92,49,24,38,19,31,262,77,62,51,558,4,48,22,1,2,40,35,52
hsa-miR-125b-2-3p03,1728,1092,1231,268,482,2580,3184,2068,1369,3004,34,276,1126,16,7,1458,1102,180
hsa-miR-125b-5p23,7142,3201,2699,1987,2602,84229,13492,9403,5535,66494,77,1502,2677,26,27,7397,6617,2279
hsa-miR-126-3p45,3208,3514,6202,4258,206,45940,6700,6176,3573,131339,314,2771,2574,29,46,3421,1215,1053
hsa-miR-126-5p44,13776,23111,31078,28201,1477,83318,22750,33014,8714,342592,6786,77917,11420,308,711,6982,6160,6414
hsa-miR-1260a11,225,59,48,77,31,1415,265,104,117,3930,6,149,62,1,0,172,137,176
hsa-miR-1260b41,180,37,41,62,23,1194,210,90,82,3339,4,149,37,1,0,130,123,175
hsa-miR-126113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
